"Pclass","Sex","Fare","Embarked","Survived","Age"
"1","male",29.7,"C","survived",27
"3","male",7.925,"S","died",20
"2","male",10.5,"S","died",16
"1","female",31,"C","survived",30
"3","male",6.4375,"C","died",34.5
"3","male",8.6625,"S","died",17
"3","male",7.55,"S","died",42
"3","male",69.55,"S","died",11
"3","male",7.8958,"C","died",35
"2","male",33,"S","died",28
"1","female",89.1042,"C","survived",19
"3","male",31.275,"S","died",4
"3","male",7.775,"S","died",74
"3","female",15.2458,"C","died",9
"1","female",39.4,"S","survived",16
"2","female",26,"S","died",44
"3","female",9.35,"S","survived",18
"1","female",164.8667,"S","survived",45
"1","male",26.55,"S","survived",51
"3","female",19.2583,"C","survived",24
"3","male",7.2292,"C","died",25
"3","male",14.1083,"S","died",41
"2","male",11.5,"S","died",21
"1","female",25.9292,"S","survived",48
"3","female",69.55,"S","died",9
"2","male",13,"S","died",24
"2","female",13,"S","survived",42
"2","female",13.8583,"C","survived",27
"1","male",50.4958,"S","died",31
"3","male",9.5,"S","died",35
"3","male",11.1333,"S","survived",4
"3","male",7.8958,"S","died",26
"1","female",52.5542,"S","survived",47
"1","male",5,"S","died",33
"3","male",9,"S","died",47
"2","female",24,"C","survived",28
"3","female",7.225,"C","survived",15
"3","male",9.8458,"S","died",20
"3","male",7.8958,"S","died",19
"3","male",7.8958,"S","died",19
"1","female",83.1583,"C","survived",56
"2","female",26,"S","survived",25
"3","male",7.8958,"S","died",33
"3","female",10.5167,"S","died",22
"2","male",10.5,"S","died",28
"3","male",7.05,"S","died",25
"3","female",29.125,"Q","died",39
"2","male",13,"S","died",27
"1","female",30,"S","survived",19
"3","female",23.45,"S","died",9
"1","male",30,"C","survived",26
"3","male",7.75,"Q","died",32
